artist,title,url
Clean Bandit,Mama (feat. Ellie Goulding) #Official,https://youtu.be/Ao3XJ-UDdzI
End of the World,Lost (ft. Clean Bandit) #Official,https://youtu.be/OWTghqOhWcs
Clean Bandit,Baby (feat. Marina & Luis Fonsi) #Official,https://youtu.be/hlznpxNGFGQ
Clean Bandit,I Miss You (feat. Julia Michaels) #Official,https://youtu.be/uZs1AHQBz24
Clean Bandit,Stronger #Official,https://youtu.be/_c_n0A3BFVE
Clean Bandit,Mozart's House ft. Love Ssega #Official,https://youtu.be/rd0cT7Dnpt8
Clean Bandit,Extraordinary ft. Sharna Bass #Official,https://youtu.be/40nFOYGVJtY
Clean Bandit,Dust Clears ft. Noonie Bao #Official,https://youtu.be/SdfL2nY-Xs8
Clean Bandit,A&E ft. Kandaka Moore & Nikki Cislyn (Channel 4's Random Acts),https://youtu.be/_VvILRC6QAk
Clean Bandit,Come Over ft. Stylo G #Official,https://youtu.be/aaXDzh_zoqM
Clean Bandit,Telephone Banking ft. Love Ssega #Official,https://youtu.be/GeynVBZjls8
Clean Bandit,Heart on Fire ft. Elisabeth Troy #Official,https://youtu.be/smRacnihcB0
Clean Bandit,Birch ft. Eliza Shaddad (BBC Radio 1 Session),https://youtu.be/s0KjHQj8z94
Clean Bandit,Nightingale ft. Nikki Cislyn #Official,https://youtu.be/U4bPB0_UTAA
